genre;title;artist;genre_trackid;url;duration;
blues;"Outlandish ";"Anitek";0;"https://mp3d.jamendo.com/download/track/973993/mp32/";239;
blues;"serjo et wiss ";"Wiss s Music manufactory";1;"https://mp3d.jamendo.com/download/track/533478/mp32/";142;
blues;"A story of a bad bad love ";"Darkman Sounds";2;"https://mp3d.jamendo.com/download/track/1392415/mp32/";250;
blues;"Giancarlo ";"Blue Identity";3;"https://mp3d.jamendo.com/download/track/693590/mp32/";236;
blues;"Dharma Karma ";"Gatto Magnetico";4;"https://mp3d.jamendo.com/download/track/946255/mp32/";218;
blues;"Manon cherche son frère ";"Mes chansons chaussent du 24";5;"https://mp3d.jamendo.com/download/track/23195/mp32/";183;
blues;"Garganta con arena( Version Rambla) (Lagartos Del Ritmo)";" Version Rambla ";6;"https://mp3d.jamendo.com/download/track/215848/mp32/";248;
blues;"Troubles - Noam Bonatti ";"Noam Bonatti";7;"https://mp3d.jamendo.com/download/track/1156600/mp32/";228;
blues;"No te detengas ";"Gustavo Crochenci";8;"https://mp3d.jamendo.com/download/track/1119695/mp32/";188;
blues;"jamboo boogie ";"Iperspazio Collective";9;"https://mp3d.jamendo.com/download/track/648632/mp32/";492;
blues;"In an old barbershop ";"Nikos Boubas";10;"https://mp3d.jamendo.com/download/track/1221664/mp32/";144;
blues;"Lo Peor ";"Perro Ciego";11;"https://mp3d.jamendo.com/download/track/804236/mp32/";266;
blues;"Summer Time ";"Sonny Sandals";12;"https://mp3d.jamendo.com/download/track/1306386/mp32/";114;
blues;"keep-on-walking ";"carsten may";13;"https://mp3d.jamendo.com/download/track/560027/mp32/";150;
blues;"Solemne ";"Sikior";14;"https://mp3d.jamendo.com/download/track/98210/mp32/";164;
blues;"Beyond blue friends ";"Amadeus";15;"https://mp3d.jamendo.com/download/track/1357069/mp32/";206;
blues;"No es tan fácil ";"Alter Nativos";16;"https://mp3d.jamendo.com/download/track/973521/mp32/";254;
blues;"Uncredibble Frog River Route ";"Lobo Loco";17;"https://mp3d.jamendo.com/download/track/1308855/mp32/";276;
blues;"The Fire ";"Frank Harper";18;"https://mp3d.jamendo.com/download/track/1128848/mp32/";266;
blues;"Palestine (live) (Le Milieu)";"live ";19;"https://mp3d.jamendo.com/download/track/16075/mp32/";301;
blues;"I Know Where Youve Been ";"Forget the Whale";20;"https://mp3d.jamendo.com/download/track/1313448/mp32/";268;
blues;"Low Tides ";"Don Whitaker";21;"https://mp3d.jamendo.com/download/track/1364361/mp32/";312;
blues;"Guitar Mix (Rain) (Blik)";"Rain ";22;"https://mp3d.jamendo.com/download/track/389520/mp32/";113;
blues;"Voice of Reason ";"SMITH Andco";23;"https://mp3d.jamendo.com/download/track/1321106/mp32/";281;
blues;"Pk jazz Collective - Little Red Rooster ";"Southern City‘s Lab";24;"https://mp3d.jamendo.com/download/track/1039775/mp32/";179;
blues;"Kann es sein das du lügst, ein wenig übertreibst ";"Ajo";25;"https://mp3d.jamendo.com/download/track/1235564/mp32/";165;
blues;"5 Starry Night_5 Звездная ночь ";"SeryLis Band";26;"https://mp3d.jamendo.com/download/track/1194552/mp32/";172;
blues;"Doggin  The Blues ";"Dark Husky";27;"https://mp3d.jamendo.com/download/track/1155335/mp32/";94;
blues;"sevilla ";"jabaswing";28;"https://mp3d.jamendo.com/download/track/430696/mp32/";210;
blues;"I m Sensitive ";"The Bad Bastards";29;"https://mp3d.jamendo.com/download/track/1150512/mp32/";268;
